Year,Quarter,Months,Total Vehicles,New Vehicles
2008,2,Apr-Jun,3,3
2008,3,Jul-Sep,30,27
2008,4,Oct-Dec,100,70
2009,1,Jan-Mar,320,220
2009,2,Apr-Jun,500,180
2009,3,Jul-Sep,700,200
2009,4,Oct-Dec,1000,300
2010,1,Jan-Mar,1100,100
2010,2,Apr-Jun,1200,100
2010,3,Jul-Sep,1300,100
2010,4,Oct-Dec,1400,100
2011,1,Jan-Mar,1598,198
2011,2,Apr-Jun,1796,198
2011,3,Jul-Sep,1994,198
2011,4,Oct-Dec,2194,200
2012,1,Jan-Mar,2293,99
2012,2,Apr-Jun,2382,89
2012,3,Jul-Sep,2703,321
2012,4,Oct-Dec,5103,2400
2013,1,Jan-Mar,10003,4900
2013,2,Apr-Jun,15153,5150
2013,3,Jul-Sep,20653,5500
2013,4,Oct-Dec,27545,6892
2014,1,Jan-Mar,34002,6457
2014,2,Apr-Jun,41581,7579
2014,3,Jul-Sep,49366,7785
2014,4,Oct-Dec,59200,9834
2015,1,Jan-Mar,69245,10045
2015,2,Apr-Jun,80777,11532
2015,3,Jul-Sep,92380,11603
2015,4,Oct-Dec,109858,17478
2016,1,Jan-Mar,124668,14810
2016,2,Apr-Jun,139070,14402
2016,3,Jul-Sep,163891,24821
2016,4,Oct-Dec,186143,22252
2017,1,Jan-Mar,211194,25051
2017,2,Apr-Jun,233220,22026
2017,3,Jul-Sep,259357,26137
2017,4,Oct-Dec,289324,29967
2018,1,Jan-Mar,319321,29997