,Id,Name,Owner,Total_Tracks,Playlist_URL,Image_URL
0,3ypuzkCtKGOQ0Y63x295Jx,"Various Artists – Electro Swing Fever, Vol. 3",Josep Foradada,60,https://open.spotify.com/playlist/3ypuzkCtKGOQ0Y63x295Jx,https://mosaic.scdn.co/640/011587aeea7675f6b8bcd2204dbdef7c96c58466774eaf41ff0c3bee8e7f7a57104aded2b7a7cf3c89b4e2faaef4dd2fca07238c4fe1c4ded7251eadd8842fb44aadb8f34c944e385b2bff667e60c77a
1,03aHsHAJv9vHySsb82CYB7,Bishop Allen,Josep Foradada,85,https://open.spotify.com/playlist/03aHsHAJv9vHySsb82CYB7,https://mosaic.scdn.co/640/2cb93e15a296ff1cbc5b7802c6db8d387c74d70f6bcefa5480fc9abc86eec1bb026bb1f5ccafea816ce0d60b930b8c1525d8df7223d40ab7895f563296751c3485d2cecd46150230af6bc9f58b923059
2,6uzNpJIT2e1cOHVhYdg8Kr,ONE,Josep Foradada,1,https://open.spotify.com/playlist/6uzNpJIT2e1cOHVhYdg8Kr,https://i.scdn.co/image/b0530ff0004d554d4872dc7d9e2c31b56aebe70b
3,7uuoJ3glhbTcKGo4PzqQu8,Various Artists – Música Clássica: Mais Famosas,Josep Foradada,50,https://open.spotify.com/playlist/7uuoJ3glhbTcKGo4PzqQu8,https://i.scdn.co/image/357a1d6a7600d4dad7d329f7c206671c7b19e73e
4,3adsbUvUtQcVmqSdCpRNIH,Nice COVERS,Josep Foradada,1,https://open.spotify.com/playlist/3adsbUvUtQcVmqSdCpRNIH,https://i.scdn.co/image/3b65c4d1d69be96659f93253944ddb79f7693999
5,5mLQ2pzeGmEwuc7NFrsmp6,FB,Josep Foradada,81,https://open.spotify.com/playlist/5mLQ2pzeGmEwuc7NFrsmp6,https://mosaic.scdn.co/640/385e5359ea930a0d98bc1fafea7d2fcecba4d7c53e7e7da3027e9115242e0a4453ac7a704ac34cb4d3dfbe8ccccc078d4d60996c0db1ecb44b989a45dc36596ef966d862d0db7c1916b5dcce001d12d8
6,7nW9BlocQCzpeLwufiJ4RJ,New Playlist,Josep Foradada,77,https://open.spotify.com/playlist/7nW9BlocQCzpeLwufiJ4RJ,https://mosaic.scdn.co/640/299ea65f2b2187d43f72ae8d06dcff080e22f71d63ec02f08ee05df836899341db2519f6336150a36917af0c3b16f1ab644869e499984f1390ef32d4dc627b2686233921c45a80243d0e6aeb08a6e5bf
7,28RqwFckD9aUZqyksBUCKw,Reggeton,Josep Foradada,4,https://open.spotify.com/playlist/28RqwFckD9aUZqyksBUCKw,https://mosaic.scdn.co/640/233137d8b11be59903fe8c3642638c562388a3605a0da5f1455f21a918205ac31ccc8fdad232f0b076f6b00fba3902837e6d2d10576fdc5586200f25f67be61ce9cb6cf03c734efdb5c45511ac25a6f0
8,17G5Gs4hjwytQt3l6mkph2,Ramon Mirabet,Josep Foradada,29,https://open.spotify.com/playlist/17G5Gs4hjwytQt3l6mkph2,https://mosaic.scdn.co/640/0cf1da3fa7e74d17529c1adbcaa1f808c8a186ec423bb5be3eef4aeefebdf84946cf08cc4f4f050165c138c0b68efcbff38621a6689ddecf2245404a93821e3712f1569abf01dbee68e05da753d1aed3
9,4uBsB8VrlhHkN9Zazl0hO8,Josep Francès,Josep Foradada,4,https://open.spotify.com/playlist/4uBsB8VrlhHkN9Zazl0hO8,https://mosaic.scdn.co/640/8ee9286e9e66682b56f0518c147057fe03e86e9da78d739488aac3438fe6f04b9fcf585218123ab9ae65b4fdd32d1727ddd55a2f793e5c511eda86f7f032b5bd403b107b7a326f6392f0c01bff936f15
10,7sKPU13AfyV0yN60OYFELl,Lang Lang – The 50 Greatest Piano Pieces by Lang Lang,Josep Foradada,50,https://open.spotify.com/playlist/7sKPU13AfyV0yN60OYFELl,https://i.scdn.co/image/c3b5d941b9b903a62b9ce015ae73a61f0cd5ae33
11,7bsAR19p7zO45OpIpiCqQB,50's,Josep Foradada,22,https://open.spotify.com/playlist/7bsAR19p7zO45OpIpiCqQB,https://mosaic.scdn.co/640/a7f695beb4ef6ab2b472e2806941fa60f48adb20cac606b457b735020197917126ab1693850b25f2ce15a6abf9b12157624a8fdc54fb4509a25b9049d9e35e7ffeede8fd7047376b10b0b7c7dc06ee6f
12,0K6zEWxGiCGZLejWC5RjLh,Favoritos,Josep Foradada,9,https://open.spotify.com/playlist/0K6zEWxGiCGZLejWC5RjLh,https://mosaic.scdn.co/640/42b5ca946ea6f72de75263476f66ec6721c5849d5db2adec61e4056714676a11bb8972beef80e857720317b1e5650cd4cea879314c4c77082d6f73e28fd92b53bf323a128bc046aaf3b14bc50561ff43
13,3fFvSuiHKyiNHj4myybmRM,Classica Josep,Josep Foradada,2,https://open.spotify.com/playlist/3fFvSuiHKyiNHj4myybmRM,https://i.scdn.co/image/fb96919dbe6b3096a130e0cfb82b824f284fee0b
14,6rcoq12RiupfqlzZK8rEX5,The Crab Apples – Right Here,Josep Foradada,14,https://open.spotify.com/playlist/6rcoq12RiupfqlzZK8rEX5,https://i.scdn.co/image/b69ca31c04a10785d9285923f21de8cdfd4a8fc9
15,64JY1fITMumLMHvbjyhYHS,Bon rotllo,Josep Foradada,15,https://open.spotify.com/playlist/64JY1fITMumLMHvbjyhYHS,https://mosaic.scdn.co/640/6448c99fb14812207080d9db8c0434fbbdbf5b3175e18381e088b8f80080b2cdc7e4cf86344b54bf7934d9d3b40817ca7bd4130b67049e4ebbd43ed9dc882634bbf467e86fe2841d16c98bf718e0a793
16,6F0bDRMilmN0VdkEtsS0Cz,Various Artists – Summer Jazz,Josep Foradada,19,https://open.spotify.com/playlist/6F0bDRMilmN0VdkEtsS0Cz,https://i.scdn.co/image/39ddc16036c1b1307103c033e193c1aa8c85f4d5
17,4YMWrJrGAyW04sfFwE3sc4,Lisa Ekdahl,Josep Foradada,10,https://open.spotify.com/playlist/4YMWrJrGAyW04sfFwE3sc4,https://i.scdn.co/image/d21f7e4d4ce41022636b1725322bda1c9c3307df
18,7EHzH8D5Fv7EWf76tDTSvH,Stromae,Josep Foradada,25,https://open.spotify.com/playlist/7EHzH8D5Fv7EWf76tDTSvH,https://i.scdn.co/image/75e18381e088b8f80080b2cdc7e4cf86344b54bf
19,0tiNVBKGtCjcH37FsQsaIg,EDITS,Josep Foradada,5,https://open.spotify.com/playlist/0tiNVBKGtCjcH37FsQsaIg,https://mosaic.scdn.co/640/0bed407280a6125be8774529d0bcab2b6cb73aaa14ab11968dfa183c2312a6cfb43480cee3bc4daaa07488d476d4e3e7e29a98eeb56a5caac0dd4b6ab91f80e3400afe3ac9ba2c20030a48824fd6ff91
20,41qf7DQAsri9nLj6pVWpOt,HITS,Josep Foradada,12,https://open.spotify.com/playlist/41qf7DQAsri9nLj6pVWpOt,https://mosaic.scdn.co/640/0296f1aa0f33e533fef7bc8548211ea24841325614ab11968dfa183c2312a6cfb43480cee3bc4daa331ae5663a127c8d989245a66446e1b8b669e47a4df2c4c3deb49d4c0b37434b8744087eaf749602
21,2SScimtgToL52F3sxoFIX6,Various Artists – Top 50 Acoustic Cover Hits,Josep Foradada,50,https://open.spotify.com/playlist/2SScimtgToL52F3sxoFIX6,https://i.scdn.co/image/4c8892b0d193354f03e1b31cef40c2be777423b4
22,1t4E2pmmUPII9lPWzYkLFU,New,Josep Foradada,3,https://open.spotify.com/playlist/1t4E2pmmUPII9lPWzYkLFU,https://i.scdn.co/image/475b9f8f450167dcf62cb83f77c967bf8d85fe83
23,5Z8VUi5qQUVkO1HzuZXUq9,Caravan Palace,Josep Foradada,29,https://open.spotify.com/playlist/5Z8VUi5qQUVkO1HzuZXUq9,https://i.scdn.co/image/6917af0c3b16f1ab644869e499984f1390ef32d4
24,0EwEbOTcoueyXQl1Et4Or6,London Philharmonic Orchestra – The 50 Greatest Pieces of Classical Music,Josep Foradada,50,https://open.spotify.com/playlist/0EwEbOTcoueyXQl1Et4Or6,https://i.scdn.co/image/a1f4e1838bab694cd26e487b2385117471856b2e
25,6NkUTDW3ONdztqUQs7YeNM,Feel This Moment,Josep Foradada,1,https://open.spotify.com/playlist/6NkUTDW3ONdztqUQs7YeNM,https://i.scdn.co/image/3edb3f970f4a3af9ef922efd18cdb4dabaf85ced
26,5bI2Q0cfKkAtsuSt9jUeZc,Blaumut - El Turista,Josep Foradada,12,https://open.spotify.com/playlist/5bI2Q0cfKkAtsuSt9jUeZc,https://i.scdn.co/image/78f9b2db67fea5eb047c281b95133c9536f4864d
27,6Vc5br1vN5YUwjGd6FxIMp,Nyandú - L'origen de les absències,Josep Foradada,12,https://open.spotify.com/playlist/6Vc5br1vN5YUwjGd6FxIMp,https://i.scdn.co/image/d93fae77a26ae029869b1ca8935087bf77ac6d08
28,1wrqSkZXURdcTk0X4BO0bP,The Free Fall Band – Elephants Never Forget,Josep Foradada,10,https://open.spotify.com/playlist/1wrqSkZXURdcTk0X4BO0bP,https://i.scdn.co/image/8c72bdda7c07e83c090f7647c74fd5d7991fe7d8
29,2VW0MLYsZGkVE101NEyrdc,Manos de Topo,Josep Foradada,33,https://open.spotify.com/playlist/2VW0MLYsZGkVE101NEyrdc,https://i.scdn.co/image/0ce57b39405c594141412a1284eaa7d4bd0fd208
30,6S6YOHxtlap5BcYdl8MSZn,La Pegatina – Xapomelön,Josep Foradada,21,https://open.spotify.com/playlist/6S6YOHxtlap5BcYdl8MSZn,https://i.scdn.co/image/5221fcc70a876f402cb149d9820ac670d582c31a
31,5arziQ4hgOyxgWqNikNVvO,"iaia, 4t1a i roger margarit",Josep Foradada,36,https://open.spotify.com/playlist/5arziQ4hgOyxgWqNikNVvO,https://i.scdn.co/image/863e332f34c36783b6eacc384bcc4a599808a06e
32,2DM514FHHlHf64BLAzoIWe,Si de nit,Josep Foradada,1,https://open.spotify.com/playlist/2DM514FHHlHf64BLAzoIWe,https://i.scdn.co/image/5221fcc70a876f402cb149d9820ac670d582c31a
33,0Kz18Qq6boSucTkU8R2aaF,Nerken's Hits,Josep Foradada,459,https://open.spotify.com/playlist/0Kz18Qq6boSucTkU8R2aaF,https://mosaic.scdn.co/640/3d7b7545a896adc90ba3926be09d4cd3858c7bcb4862a7168866cfd07a288e110f034381a2258035ca8162e8245bd9f949c8d6b1cd929e43f6866f41d22f771696d9329e44d3d4a48e9b5fdc276941ec
34,7vHRwRtvmggt50qUnnHeaD,Catalana,Josep Foradada,94,https://open.spotify.com/playlist/7vHRwRtvmggt50qUnnHeaD,https://mosaic.scdn.co/640/06dc8e7b1086354c16ccadab327526a7c91b475b2e1dc918650e89f3d949fea512d3191b3524586e899b2f5a7a8311e5669b5b8d115b4e79df26851bc30b893e0a37566640baa38669312bb980b216cb
35,5aMcG4sVMmkV1u3YC63hMQ,Spanish,Josep Foradada,69,https://open.spotify.com/playlist/5aMcG4sVMmkV1u3YC63hMQ,https://mosaic.scdn.co/640/4c72e665364e8b7254934a41e451f3fb7817943a753b57ab7d7b804d27efcb8de69c1adb0728112388207d358b27ebcf6415d30c36a1b8be7362d0f1bac22ba0bc7b6023ee9ef8db5f3c86ee44f3aa99
36,2jig3jDOLAamg7rauyYbsW,Various Artists [Artist] – 100 Classical Favourites,Josep Foradada,200,https://open.spotify.com/playlist/2jig3jDOLAamg7rauyYbsW,https://i.scdn.co/image/0a66cdf0df03ab8694db3eac338222a31b2bd25e
37,3hS8GwHWUUGI9bMAeLlzLh,Mine – Un brindis pel nen androide,Josep Foradada,12,https://open.spotify.com/playlist/3hS8GwHWUUGI9bMAeLlzLh,https://i.scdn.co/image/51b39c71fc9983e56b9eafc37e7da3714144d64b
38,2wZ4hdXDK7A4PWxvdWZaAs,Various Artists – 100 Best Opera Classics,Josep Foradada,100,https://open.spotify.com/playlist/2wZ4hdXDK7A4PWxvdWZaAs,https://i.scdn.co/image/3bbf42355ad95fa9ba154a62f9e46509b1736dcc
39,26yOZG9EufjUlGvl9zE1Fv,Running,Josep Foradada,3,https://open.spotify.com/playlist/26yOZG9EufjUlGvl9zE1Fv,https://i.scdn.co/image/88829486f1c44a6b7f97399b9ce359518cfc6120
40,7LqEvFlU62PeN9Ey2GFQ1a,17 Hippies – El Dorado,Josep Foradada,12,https://open.spotify.com/playlist/7LqEvFlU62PeN9Ey2GFQ1a,https://i.scdn.co/image/b31fde37d22c06720143e0ed19b510d1117bf402
41,5LR210vwhwJxrJWBGxTzMh,The BEST BRITISH songs of all time,Josep Foradada,101,https://open.spotify.com/playlist/5LR210vwhwJxrJWBGxTzMh,https://mosaic.scdn.co/640/7fcd391dcc5d6f408416b29a1f1845f0edf0f10a83085baf4b6f6cedc2e226d3e7e7e0d2851ed8549b369f97ae9c6f2492ba3238b641c80805ae1281abf2f2cbeff74c913790dcebe02fdf17b230b5e3
42,7AbQaavvwWs13zH2XMxUrZ,Volbeat – Live From Beyond Hell / Above Heaven,Josep Foradada,19,https://open.spotify.com/playlist/7AbQaavvwWs13zH2XMxUrZ,https://i.scdn.co/image/62006ee56c1e95b32e5702a33b4da7491701764a
43,5FAkbyeCqjinjYqfbERDYa,Elektro,Josep Foradada,11,https://open.spotify.com/playlist/5FAkbyeCqjinjYqfbERDYa,https://mosaic.scdn.co/640/03e38e559265dd39eee574f9c9756e9ed182fe6b1cb772d5f25d1689a27d507f92f6eed3945dd7af3f402c067ec15f373e88e4ef642867e51f6bef7b973b0b88824e0ba07338ad49a1d237d433d64f12
